from,to
bras basah,dhoby ghaut
macpherson,tai seng
kallang,aljunied
tanah merah,expo
chinatown,outram park
aljunied,kallang
haw par villa,kent ridge
esplanade,promenade
farrer road,holland village
clarke quay,dhoby ghaut
rochor,bugis
hougang,buangkok
tampines west,tampines
haw par villa,pasir panjang
lakeside,chinese garden
outram park,tiong bahru
lentor,springleaf
yishun,canberra
king albert park,beauty world
hillview,cashew
boon lay,pioneer
sembawang,admiralty
tuas west road,tuas crescent
caldecott,marymount
botanic gardens,farrer road
queenstown,commonwealth
bencoolen,fort canning
bukit gombak,bukit batok
lentor,mayflower
kovan,serangoon
somerset,orchard
chinese garden,lakeside
lakeside,boon lay
marina bay,marina south pier
paya lebar,macpherson
pioneer,joo koon
stevens,newton
simei,tampines
potong pasir,woodleigh
orchard,somerset
toa payoh,novena
buangkok,hougang
eunos,kembangan
dover,clementi
tampines,tampines west
lavender,kallang
lavender,bugis
upper changi,expo
bayfront,promenade
macpherson,ubi
raffles place,city hall
stadium,mountbatten
bedok reservoir,bedok north
king albert park,sixth avenue
springleaf,woodlands south
woodlands,woodlands south
tuas crescent,tuas west road
braddell,bishan
buona vista,dover
bendemeer,jalan besar
raffles place,marina bay
little india,farrer park
bugis,promenade
novena,newton
choa chu kang,bukit gombak
harbourfront,telok blangah
commonwealth,buona vista
stevens,botanic gardens
bartley,serangoon
boon lay,lakeside
labrador park,pasir panjang
sembawang,canberra
marsiling,kranji
esplanade,bras basah
clementi,dover
tanjong pagar,outram park
botanic gardens,stevens
woodlands,woodlands north
marina bay,raffles place
tiong bahru,outram park
yew tee,kranji
tampines east,tampines
labrador park,telok blangah
dakota,paya lebar
bayfront,marina bay
fort canning,bencoolen
cashew,bukit panjang
expo,tanah merah
admiralty,woodlands
pasir panjang,labrador park
joo koon,gul circle
bedok north,kaki bukit
farrer park,boon keng
gul circle,tuas crescent
expo,upper changi
lorong chuan,bishan
city hall,bugis
tuas link,tuas west road
woodlands north,woodlands
bukit batok,bukit gombak
commonwealth,queenstown
mountbatten,stadium
khatib,yishun
caldecott,upper thomson
tuas west road,tuas link
geylang bahru,bendemeer
pasir ris,tampines
tai seng,macpherson
one-north,kent ridge
hillview,beauty world
springleaf,lentor
dhoby ghaut,little india
redhill,queenstown
sixth avenue,king albert park
marina south pier,marina bay
cashew,hillview
aljunied,paya lebar
marsiling,woodlands
little india,newton
paya lebar,dakota
tan kah kee,sixth avenue
botanic gardens,caldecott
marymount,caldecott
nicoll highway,promenade
upper changi,tampines east
tampines west,bedok reservoir
serangoon,kovan
dhoby ghaut,somerset
